year,event,description
2005,Rate hike cycle begins,The Fed began raising rates from 1% — the lowest level in 45 years — to combat rising inflation. By 2006 rates had reached 5.25% in one of the most sustained tightening cycles of the modern era. The low rates that preceded this cycle had fueled the housing bubble that would later collapse.
2006,Rate hike cycle begins,The Fed began raising rates from 1% — the lowest level in 45 years — to combat rising inflation. By 2006 rates had reached 5.25% in one of the most sustained tightening cycles of the modern era. The low rates that preceded this cycle had fueled the housing bubble that would later collapse.
2007,Financial crisis,The collapse of Lehman Brothers triggered a global financial crisis as interconnected banks faced insolvency. Credit markets froze and the global economy entered the worst recession since the Great Depression. Governments worldwide launched unprecedented bailouts and stimulus programs to prevent complete collapse.
2008,Financial crisis,The collapse of Lehman Brothers triggered a global financial crisis as interconnected banks faced insolvency. Credit markets froze and the global economy entered the worst recession since the Great Depression. Governments worldwide launched unprecedented bailouts and stimulus programs to prevent complete collapse.
2009,Financial crisis,The collapse of Lehman Brothers triggered a global financial crisis as interconnected banks faced insolvency. Credit markets froze and the global economy entered the worst recession since the Great Depression. Governments worldwide launched unprecedented bailouts and stimulus programs to prevent complete collapse.
2010,European debt crisis,Greece revealed its debt was far larger than reported triggering a sovereign debt crisis across southern Europe. Ireland Portugal Spain and Italy faced borrowing costs that threatened their ability to service existing debt. The European Central Bank eventually pledged to do whatever it takes to preserve the euro.
2011,European debt crisis,Greece revealed its debt was far larger than reported triggering a sovereign debt crisis across southern Europe. Ireland Portugal Spain and Italy faced borrowing costs that threatened their ability to service existing debt. The European Central Bank eventually pledged to do whatever it takes to preserve the euro.
2012,European debt crisis,Greece revealed its debt was far larger than reported triggering a sovereign debt crisis across southern Europe. Ireland Portugal Spain and Italy faced borrowing costs that threatened their ability to service existing debt. The European Central Bank eventually pledged to do whatever it takes to preserve the euro.
2013,Taper tantrum,Fed Chairman Bernanke hinted that the central bank might slow its bond purchases causing global markets to sell off sharply. Emerging market currencies collapsed as investors anticipated higher US rates and pulled capital. It demonstrated how dependent global markets had become on continued Fed stimulus.
2015,Rate hike cycle begins,The Fed raised rates for the first time in nearly a decade signaling confidence in the economic recovery. The move was cautious and rates rose slowly over several years to a peak of 2.5%. Markets had become so accustomed to low rates that even small increases caused volatility.
2018,Trade war volatility,The US imposed tariffs on Chinese goods triggering retaliatory measures and escalating trade tensions. Markets swung violently as investors tried to assess the economic impact of a potential decoupling of the two largest economies. The S&P 500 fell nearly 20% in the fourth quarter of 2018.
2020,COVID crash,The pandemic caused the fastest bear market in history with the S&P 500 falling 34% in 33 days. The Fed cut rates to zero and launched the largest emergency stimulus program in its history. Markets recovered explosively as fiscal and monetary support flooded the economy.
2022,Rate hike cycle,Inflation hit 40-year highs forcing the Fed to raise rates at the fastest pace since the Volcker era. The Nasdaq fell over 30% as rising rates hit high-growth technology stocks hardest. It was the first true test of how markets built on a decade of zero rates would respond to normalization.
2023,Rate hike cycle,Inflation hit 40-year highs forcing the Fed to raise rates at the fastest pace since the Volcker era. The Nasdaq fell over 30% as rising rates hit high-growth technology stocks hardest. It was the first true test of how markets built on a decade of zero rates would respond to normalization.
2024,Rate cut cycle begins,The Fed began cutting rates as inflation fell toward its 2% target after the most aggressive tightening cycle in decades. Markets rallied in anticipation of easier financial conditions. The soft landing — taming inflation without causing a recession — appeared within reach.
